"customerid","totalamount"
30052,"21863.8998"
13093,"5280.0547"
13520,"5029.2524"
25886,"5164.0076"
11092,"8961.5722"
28031,"6682.2887"
22299,"4580.8218"
27107,"4923.3161"
30030,"68644.5658"
12251,"4337.0919"
19073,"5260.1537"
19965,"6692.5541"
28840,"4861.0056"
21205,"5399.8036"
13577,"10442.6064"
27612,"3953.9884"
13866,"5126.6614"
12248,"4353.678"
12622,"5674.6262"
18246,"6663.8241"
22120,"6588.3858"
13273,"5146.5735"
20244,"6653.8902"
13697,"7166.6654"
19592,"5941.8392"
17952,"4355.3935"
12464,"6517.5774"
11359,"5480.8774"
11026,"7266.2481"
29554,"16912.9207"
12686,"7585.2279"
18452,"5251.7888"
19971,"6692.5541"
22951,"4687.7526"
20716,"4321.9755"
29645,"166814.9731"
18487,"6653.8902"
16708,"4869.4478"
15436,"4168.5127"
19439,"4806.6266"
15046,"6567.2913"
22932,"4607.1097"
27617,"6603.8337"
13253,"7485.7669"
18331,"5251.7888"
13443,"5012.8795"
29788,"6040.9608"
23209,"5306.3316"
29496,"107741.1090"
16494,"6587.1261"
28051,"3953.9884"
12290,"6489.9524"
17893,"4290.2206"
13645,"7532.9158"
18242,"6764.4896"
15220,"4844.4065"
21571,"5110.5284"
12756,"6528.6163"
26292,"4924.0328"
13820,"6528.6274"
11468,"7690.6012"
11126,"5494.4689"
13088,"5260.1537"
28112,"3953.9884"
13562,"4827.8426"
15932,"7940.9610"
12222,"7634.5537"
13690,"7914.0985"
12221,"6594.9163"
19763,"4589.3413"
29967,"164650.4820"
15218,"4860.9815"
13846,"6556.2413"
29504,"181006.1299"
18127,"7715.1902"
19454,"4822.1076"
19977,"6679.2720"
16451,"5119.3131"
12350,"7504.8834"
12673,"7478.7929"
19770,"4560.6113"
11578,"4869.0606"
27017,"4974.8628"
19577,"6671.8685"
20626,"6672.6089"
15588,"4957.1055"
18928,"6735.0635"
15033,"4196.1266"
13953,"7559.0284"
21191,"4607.1097"
18126,"7674.8687"
13314,"5363.9905"
20217,"6728.9970"
13633,"7517.4679"
14299,"5645.1795"
18721,"5893.2413"
12298,"8899.0177"
13468,"5112.3074"
29731,"58418.6364"
15078,"7376.5381"
28178,"3953.9884"
15225,"4863.5577"
14305,"4035.6791"
30003,"12066.9183"
15786,"4824.5055"
11257,"7378.5050"
18027,"4328.8845"
22114,"4622.4692"
12942,"4974.2156"
14207,"9239.2366"
16156,"4800.2176"
13967,"6322.7087"
17293,"4881.6138"
13847,"6506.5053"
17768,"4317.2820"
21956,"5119.3131"
15595,"4827.8426"
19652,"5872.2463"
16675,"4845.4582"
28285,"6627.0497"
30069,"5226.8256"
28797,"3953.9884"
19968,"6653.8902"
11459,"8996.1697"
11493,"7689.4741"
11904,"9077.0226"
11548,"7810.4384"
11351,"8915.1733"
11873,"6545.1692"
26728,"4922.8836"
28183,"3953.9884"
13898,"5342.9955"
27287,"4955.3500"
22953,"4308.9393"
12773,"6528.6163"
29634,"34605.0000"
27569,"4933.2500"
22117,"4594.8553"
24759,"4828.3970"
12217,"6489.9524"
29625,"191750.1446"
30045,"166384.0535"
29683,"45316.8917"
16596,"4957.6295"
26487,"4924.0328"
12435,"6541.8653"
24367,"4618.1597"
26530,"4937.3149"
22202,"5162.2755"
16552,"5510.4030"
30105,"195196.9483"
13433,"5009.5424"
13733,"5031.6424"
11090,"7408.0085"
26532,"4938.7640"
25962,"6430.0503"
15624,"7723.4887"
11592,"6492.4828"
26338,"4937.3149"
11811,"6517.5774"
13299,"5343.0066"
19789,"6694.3221"
29756,"9619.5049"
16391,"5110.5284"
30116,"211671.2674"
24666,"4829.5241"
12500,"4945.2945"
12079,"6639.0611"
26491,"4938.7293"
13202,"5037.1674"
15590,"4906.2534"
17191,"7619.6519"
28393,"5016.1034"
16928,"5192.1299"
17198,"7992.8629"
29722,"954021.9235"
29810,"124014.5979"
13896,"5277.0712"
11240,"8382.7842"
13425,"5315.3926"
29769,"92300.5485"
30070,"241374.5037"
12852,"4874.5620"
11994,"9026.7782"
11450,"9031.4524"
11429,"11567.5595"
14138,"4910.8632"
14672,"5787.6803"
29354,"3953.9884"
15183,"4827.4131"
24596,"4606.5572"
11872,"6572.8053"
18212,"6662.6749"
11274,"6506.5053"
11380,"6450.8906"
15808,"4888.6065"
13540,"7213.6390"
22913,"5176.2538"
13405,"11910.3642"
12829,"4868.6944"
18769,"5861.1963"
29817,"135766.4747"
14198,"9180.9920"
28820,"3953.9884"
29841,"127265.1484"
29611,"10277.0964"
13622,"7559.7798"
12949,"5037.1674"
19602,"6732.9861"
20456,"6662.6749"
12272,"5679.4013"
12819,"6572.7942"
28070,"6627.0497"
13263,"12013.6264"
15357,"7991.7689"
29265,"4774.2852"
22785,"6662.6749"
18139,"6369.6924"
15180,"4935.3606"
13089,"7514.4969"
21403,"5409.7375"
29238,"4859.9006"
13904,"4974.2156"
13794,"7969.3264"
29280,"3953.9884"
11413,"7944.6739"
13605,"10624.2768"
16155,"4960.9730"
11963,"8915.1733"
15095,"8017.5044"
17207,"7712.4166"
15050,"4647.8953"
11688,"6593.7892"
12860,"4932.8176"
25909,"5147.9851"
29949,"5696.5770"
12676,"7579.7029"
28181,"3953.9884"
22193,"5399.8036"
14541,"4859.5138"
17925,"5192.1299"
12011,"5233.0702"
16432,"5120.4623"
23415,"3965.6572"
29690,"470639.5450"
13616,"7593.6244"
14346,"3959.5020"
20483,"4862.0644"
18240,"6738.9310"
29563,"208806.1592"
17182,"7680.4158"
12930,"4987.7960"
29675,"46795.9760"
26708,"4977.4279"
12286,"5806.6406"
11522,"6506.5053"
20444,"6724.5770"
12494,"6572.7942"
12623,"6221.3802"
27759,"3953.9884"
29797,"58808.1531"
16745,"6653.8902"
29922,"132439.4619"
15228,"4834.4394"
17734,"5192.1299"
19615,"5833.5824"
29147,"3953.9884"
27917,"3953.9884"
14164,"7165.6046"
29974,"87227.3226"
14238,"6235.4026"
13959,"7578.5523"
13789,"4859.5138"
28199,"3953.9884"
26093,"5146.8801"
20628,"6692.5541"
13841,"7320.1831"
28644,"3953.9884"
12184,"6492.4828"
26650,"4923.3161"
13565,"5277.0712"
16526,"5257.8553"
19844,"6417.7627"
13602,"9255.7895"
28835,"3953.9884"
14045,"7518.5618"
12647,"7609.6911"
22954,"4618.1597"
29538,"76266.9402"
29805,"67712.4799"
30114,"13135.0333"
14101,"4066.2876"
14047,"6236.1113"
29910,"329064.4330"
12559,"6225.4687"
12805,"7207.0532"
13110,"6170.2519"
