"product_name","total_sold"
"AWC Logo Cap","8311"
"Water Bottle - 30 oz.","6815"
"Sport-100 Helmet, Blue","6743"
"Long-Sleeve Logo Jersey, L","6592"
"Sport-100 Helmet, Black","6532"
"Sport-100 Helmet, Red","6266"
"Classic Vest, S","4247"
"Patch Kit/8 Patches","3865"
"Short-Sleeve Classic Jersey, XL","3864"
"Long-Sleeve Logo Jersey, M","3636"
"Half-Finger Gloves, M","3464"
"Full-Finger Gloves, L","3378"
"Bike Wash - Dissolver","3319"
"Women's Mountain Shorts, S","3296"
"Women's Mountain Shorts, L","3244"
"Hitch Rack - 4-Bike","3166"
"Mountain Tire Tube","3095"
"Long-Sleeve Logo Jersey, XL","2980"
"Mountain-200 Black, 38","2977"
"Short-Sleeve Classic Jersey, L","2848"
"Hydration Pack - 70 oz.","2761"
"Mountain-200 Black, 42","2664"
"Racing Socks, L","2473"
"Mountain-200 Silver, 38","2394"
"Road Tire Tube","2376"
"Classic Vest, M","2284"
"Road-650 Black, 52","2270"
"Road-650 Red, 44","2254"
"Mountain-200 Silver, 42","2234"
"Road-650 Red, 60","2232"
"Mountain-200 Silver, 46","2216"
"Full-Finger Gloves, M","2206"
"Half-Finger Gloves, S","2188"
"Women's Tights, L","2123"
"Fender Set - Mountain","2121"
"Mountain-200 Black, 46","2111"
"Women's Tights, S","2072"
"Mountain Bottle Cage","2025"
"Short-Sleeve Classic Jersey, S","1955"
"Road-650 Red, 62","1896"
"Road-650 Red, 48","1888"
"Road-650 Black, 58","1871"
"Road-550-W Yellow, 48","1763"
"Road-550-W Yellow, 38","1744"
"Road Bottle Cage","1712"
"Road-250 Black, 44","1642"
"Road-350-W Yellow, 48","1622"
"Men's Bib-Shorts, M","1616"
"LL Road Frame - Black, 52","1581"
"Road-750 Black, 48","1556"
"Racing Socks, M","1547"
"Road-550-W Yellow, 40","1500"
"Road-250 Black, 48","1498"
"Touring Tire Tube","1488"
"Road-350-W Yellow, 40","1477"
"ML Mountain Handlebars","1465"
"ML Road Frame-W - Yellow, 44","1435"
"HL Mountain Tire","1396"
"Road-750 Black, 52","1338"
"Half-Finger Gloves, L","1276"
"Men's Sports Shorts, M","1276"
"Road-550-W Yellow, 42","1249"
"Road-250 Black, 52","1245"
"HL Mountain Frame - Silver, 38","1206"
"HL Mountain Frame - Black, 42","1181"
"ML Mountain Tire","1161"
"Women's Mountain Shorts, M","1139"
"Minipump","1130"
"Touring-1000 Blue, 60","1120"
"Touring-1000 Yellow, 60","1114"
"Road-650 Red, 52","1112"
"Mountain Bike Socks, M","1107"
"Road-650 Black, 60","1100"
"Cable Lock","1087"
"Road-650 Black, 44","1080"
"LL Road Tire","1044"
"Touring-2000 Blue, 54","1010"
"Touring-1000 Yellow, 46","1005"
"Touring-1000 Blue, 46","1002"
"LL Road Frame - Red, 60","996"
"LL Road Frame - Red, 44","991"
"ML Mountain Frame - Black, 48","959"
"Road-250 Red, 58","946"
"Road-350-W Yellow, 42","944"
"LL Road Frame - Black, 58","940"
"Touring Tire","935"
"Road-550-W Yellow, 44","927"
"ML Road Tire","926"
"Road-250 Black, 58","910"
"ML Mountain Frame-W - Silver, 40","899"
"Road-250 Red, 44","895"
"ML Road Frame-W - Yellow, 38","895"
"Road-750 Black, 58","892"
"ML Road Frame-W - Yellow, 48","889"
"Men's Bib-Shorts, S","876"
"LL Road Rear Wheel","868"
"LL Road Pedal","868"
"LL Mountain Handlebars","865"
"LL Mountain Tire","862"
"HL Road Tire","858"
"Touring-3000 Yellow, 44","851"
"ML Mountain Rear Wheel","851"
"HL Mountain Rear Wheel","850"
"Touring-3000 Yellow, 62","844"
"Touring-3000 Blue, 50","841"
"Touring-2000 Blue, 60","820"
"Front Derailleur","813"
"Road-250 Red, 48","812"
"Front Brakes","789"
"HL Mountain Pedal","785"
"Mountain-300 Black, 40","776"
"Chain","774"
"Mountain-300 Black, 44","747"
"Mountain-300 Black, 48","740"
"Road-450 Red, 52","710"
"LL Road Frame - Red, 62","697"
"Touring-3000 Yellow, 50","686"
"Touring-3000 Blue, 54","686"
"Mountain-300 Black, 38","684"
"Mountain-100 Black, 38","682"
"Mountain-100 Black, 44","678"
"HL Road Pedal","676"
"LL Road Frame - Red, 48","671"
"Road-150 Red, 56","664"
"ML Road Pedal","661"
"HL Mountain Frame - Black, 38","659"
"ML Headset","659"
"Road-750 Black, 44","656"
"Touring-1000 Yellow, 50","652"
"HL Mountain Frame - Silver, 46","649"
"Touring-1000 Blue, 50","649"
"Road-650 Black, 48","644"
"Road-650 Black, 62","644"
"Mountain-100 Silver, 38","642"
"Road-250 Red, 52","639"
"LL Mountain Frame - Silver, 42","638"
"Mountain-100 Black, 42","634"
"Men's Bib-Shorts, L","633"
"HL Road Handlebars","631"
"ML Mountain Frame-W - Silver, 42","627"
"LL Mountain Frame - Black, 44","625"
"ML Mountain Frame - Black, 44","619"
"Road-650 Red, 58","618"
"Mountain-400-W Silver, 40","617"
"LL Mountain Front Wheel","617"
"Mountain-100 Black, 48","616"
"HL Crankset","613"
"Mountain-100 Silver, 44","601"
"Road-150 Red, 62","600"
"Mountain-100 Silver, 42","593"
"Road-450 Red, 58","582"
"HL Road Front Wheel","567"
"Men's Sports Shorts, S","567"
"HL Bottom Bracket","543"
"HL Touring Frame - Blue, 54","542"
"HL Touring Frame - Yellow, 54","540"
"Touring-2000 Blue, 46","538"
"Road-350-W Yellow, 44","536"
"ML Mountain Seat/Saddle","534"
"ML Road Front Wheel","532"
"HL Mountain Seat/Saddle","519"
"Mountain-500 Silver, 52","515"
"ML Mountain Frame - Black, 38","514"
"Mountain-100 Silver, 48","505"
"Full-Finger Gloves, S","500"
"HL Mountain Handlebars","500"
"Road-150 Red, 48","493"
"HL Road Frame - Red, 44","486"
"HL Road Frame - Red, 62","485"
"Touring-3000 Blue, 58","482"
"HL Road Frame - Black, 44","459"
"Road-150 Red, 52","458"
"Mountain-500 Silver, 48","457"
"Mountain-500 Silver, 42","455"
"Touring-3000 Yellow, 54","453"
"Mountain-500 Silver, 40","450"
"Mountain-500 Black, 48","449"
"LL Mountain Pedal","449"
"Men's Sports Shorts, L","445"
"HL Fork","444"
"LL Mountain Frame - Silver, 40","442"
"Road-150 Red, 44","437"
"Long-Sleeve Logo Jersey, S","429"
"LL Crankset","426"
"HL Touring Seat/Saddle","426"
"LL Mountain Frame - Silver, 52","425"
"Mountain-400-W Silver, 38","425"
"LL Mountain Frame - Black, 42","423"
"Touring-1000 Blue, 54","413"
"Short-Sleeve Classic Jersey, M","407"
"Mountain-400-W Silver, 46","401"
"Touring-1000 Yellow, 54","397"
"Women's Tights, M","394"
"Mountain-500 Black, 42","388"
"HL Touring Frame - Yellow, 60","387"
"LL Mountain Frame - Black, 48","386"
"Mountain-400-W Silver, 42","385"
"Mountain-500 Silver, 44","381"
"LL Bottom Bracket","378"
"LL Mountain Frame - Silver, 44","371"
"HL Touring Frame - Blue, 60","371"
"Rear Derailleur","353"
"Road-450 Red, 60","350"
"Mountain-500 Black, 44","350"
"LL Touring Frame - Yellow, 62","348"
"LL Mountain Seat/Saddle","347"
"HL Mountain Frame - Silver, 42","347"
"Road-450 Red, 44","346"
"ML Mountain Pedal","345"
"LL Mountain Rear Wheel","342"
"Touring-2000 Blue, 50","322"
"LL Touring Frame - Blue, 50","316"
"LL Touring Frame - Yellow, 44","294"
"Touring-3000 Yellow, 58","293"
"Touring-3000 Blue, 44","292"
"Mountain-500 Black, 40","282"
"Touring-3000 Blue, 62","281"
"Mountain-500 Black, 52","272"
"ML Mountain Front Wheel","266"
"HL Headset","255"
"ML Road Frame - Red, 48","250"
"All-Purpose Bike Stand","249"
"Rear Brakes","246"
"LL Road Frame - Black, 44","238"
"LL Touring Frame - Yellow, 50","228"
"HL Mountain Front Wheel","222"
"HL Touring Handlebars","220"
"LL Road Handlebars","213"
"LL Touring Frame - Blue, 54","211"
"Classic Vest, L","207"
"ML Road Frame-W - Yellow, 40","203"
"LL Fork","190"
"ML Mountain Frame-W - Silver, 46","188"
"HL Mountain Frame - Silver, 48","173"
"Road-450 Red, 48","156"
"Touring Pedal","147"
"HL Road Seat/Saddle","134"
"HL Mountain Frame - Black, 48","131"
"LL Road Frame - Black, 60","129"
"HL Touring Frame - Blue, 50","124"
"HL Touring Frame - Blue, 46","114"
"HL Road Frame - Red, 48","109"
"HL Road Frame - Black, 48","109"
