"productid","name","listprice","subcategoryname"
680,"HL Road Frame - Black, 58","1431.5","Road Frames"
706,"HL Road Frame - Red, 58","1431.5","Road Frames"
709,"Mountain Bike Socks, M","9.5","Socks"
710,"Mountain Bike Socks, L","9.5","Socks"
717,"HL Road Frame - Red, 62","1431.5","Road Frames"
718,"HL Road Frame - Red, 44","1431.5","Road Frames"
719,"HL Road Frame - Red, 48","1431.5","Road Frames"
720,"HL Road Frame - Red, 52","1431.5","Road Frames"
721,"HL Road Frame - Red, 56","1431.5","Road Frames"
739,"HL Mountain Frame - Silver, 42","1364.5","Mountain Frames"
740,"HL Mountain Frame - Silver, 44","1364.5","Mountain Frames"
741,"HL Mountain Frame - Silver, 48","1364.5","Mountain Frames"
742,"HL Mountain Frame - Silver, 46","1364.5","Mountain Frames"
743,"HL Mountain Frame - Black, 42","1349.6","Mountain Frames"
744,"HL Mountain Frame - Black, 44","1349.6","Mountain Frames"
745,"HL Mountain Frame - Black, 48","1349.6","Mountain Frames"
746,"HL Mountain Frame - Black, 46","1349.6","Mountain Frames"
747,"HL Mountain Frame - Black, 38","1349.6","Mountain Frames"
748,"HL Mountain Frame - Silver, 38","1364.5","Mountain Frames"
749,"Road-150 Red, 62","3578.27","Road Bikes"
750,"Road-150 Red, 44","3578.27","Road Bikes"
751,"Road-150 Red, 48","3578.27","Road Bikes"
752,"Road-150 Red, 52","3578.27","Road Bikes"
753,"Road-150 Red, 56","3578.27","Road Bikes"
771,"Mountain-100 Silver, 38","3399.99","Mountain Bikes"
772,"Mountain-100 Silver, 42","3399.99","Mountain Bikes"
773,"Mountain-100 Silver, 44","3399.99","Mountain Bikes"
774,"Mountain-100 Silver, 48","3399.99","Mountain Bikes"
775,"Mountain-100 Black, 38","3374.99","Mountain Bikes"
776,"Mountain-100 Black, 42","3374.99","Mountain Bikes"
777,"Mountain-100 Black, 44","3374.99","Mountain Bikes"
778,"Mountain-100 Black, 48","3374.99","Mountain Bikes"
779,"Mountain-200 Silver, 38","2319.99","Mountain Bikes"
780,"Mountain-200 Silver, 42","2319.99","Mountain Bikes"
781,"Mountain-200 Silver, 46","2319.99","Mountain Bikes"
782,"Mountain-200 Black, 38","2294.99","Mountain Bikes"
783,"Mountain-200 Black, 42","2294.99","Mountain Bikes"
784,"Mountain-200 Black, 46","2294.99","Mountain Bikes"
789,"Road-250 Red, 44","2443.35","Road Bikes"
790,"Road-250 Red, 48","2443.35","Road Bikes"
791,"Road-250 Red, 52","2443.35","Road Bikes"
792,"Road-250 Red, 58","2443.35","Road Bikes"
793,"Road-250 Black, 44","2443.35","Road Bikes"
794,"Road-250 Black, 48","2443.35","Road Bikes"
795,"Road-250 Black, 52","2443.35","Road Bikes"
796,"Road-250 Black, 58","2443.35","Road Bikes"
804,"HL Fork","229.49","Forks"
806,"ML Headset","102.29","Headsets"
807,"HL Headset","124.73","Headsets"
810,"HL Mountain Handlebars","120.27","Handlebars"
813,"HL Road Handlebars","120.27","Handlebars"
817,"HL Mountain Front Wheel","300.215","Wheels"
819,"ML Road Front Wheel","248.385","Wheels"
820,"HL Road Front Wheel","330.06","Wheels"
824,"ML Mountain Rear Wheel","236.025","Wheels"
825,"HL Mountain Rear Wheel","327.215","Wheels"
827,"ML Road Rear Wheel","275.385","Wheels"
828,"HL Road Rear Wheel","357.06","Wheels"
829,"Touring Rear Wheel","245.01","Wheels"
837,"HL Road Frame - Black, 62","1431.5","Road Frames"
838,"HL Road Frame - Black, 44","1431.5","Road Frames"
839,"HL Road Frame - Black, 48","1431.5","Road Frames"
840,"HL Road Frame - Black, 52","1431.5","Road Frames"
845,"Mountain Pump","24.99","Pumps"
847,"Headlights - Dual-Beam","34.99","Lights"
848,"Headlights - Weatherproof","44.99","Lights"
861,"Full-Finger Gloves, S","37.99","Gloves"
862,"Full-Finger Gloves, M","37.99","Gloves"
863,"Full-Finger Gloves, L","37.99","Gloves"
867,"Women's Mountain Shorts, S","69.99","Shorts"
868,"Women's Mountain Shorts, M","69.99","Shorts"
869,"Women's Mountain Shorts, L","69.99","Shorts"
871,"Mountain Bottle Cage","9.99","Bottles and Cages"
872,"Road Bottle Cage","8.99","Bottles and Cages"
881,"Short-Sleeve Classic Jersey, S","53.99","Jerseys"
882,"Short-Sleeve Classic Jersey, M","53.99","Jerseys"
883,"Short-Sleeve Classic Jersey, L","53.99","Jerseys"
884,"Short-Sleeve Classic Jersey, XL","53.99","Jerseys"
885,"HL Touring Frame - Yellow, 60","1003.91","Touring Frames"
887,"HL Touring Frame - Yellow, 46","1003.91","Touring Frames"
888,"HL Touring Frame - Yellow, 50","1003.91","Touring Frames"
889,"HL Touring Frame - Yellow, 54","1003.91","Touring Frames"
890,"HL Touring Frame - Blue, 46","1003.91","Touring Frames"
891,"HL Touring Frame - Blue, 50","1003.91","Touring Frames"
892,"HL Touring Frame - Blue, 54","1003.91","Touring Frames"
893,"HL Touring Frame - Blue, 60","1003.91","Touring Frames"
894,"Rear Derailleur","121.46","Derailleurs"
910,"HL Mountain Seat/Saddle","52.64","Saddles"
913,"HL Road Seat/Saddle","52.64","Saddles"
916,"HL Touring Seat/Saddle","52.64","Saddles"
928,"LL Mountain Tire","24.99","Tires and Tubes"
929,"ML Mountain Tire","29.99","Tires and Tubes"
930,"HL Mountain Tire","35","Tires and Tubes"
931,"LL Road Tire","21.49","Tires and Tubes"
932,"ML Road Tire","24.99","Tires and Tubes"
933,"HL Road Tire","32.6","Tires and Tubes"
