"customerid","personid","salesorderid","totaldue"
11000,13531,57418,"2770.2682"
11000,13531,51522,"2587.8769"
11000,13531,43793,"3756.989"
11001,5454,72773,"650.8008"
11001,5454,51493,"2674.0227"
11001,5454,43767,"3729.364"
11002,11269,53237,"2673.0613"
11002,11269,51238,"2535.964"
11002,11269,43736,"3756.989"
11003,11358,57783,"2674.4757"
11003,11358,51315,"2562.4508"
11003,11358,43701,"3756.989"
11004,11901,57293,"2673.0613"
11004,11901,51595,"2626.5408"
11004,11901,43810,"3756.989"
11005,6990,57361,"2634.3974"
11005,6990,51612,"2610.3084"
11005,6990,43704,"3729.364"
11006,6229,58007,"2634.3974"
11006,6229,51198,"2580.1419"
11006,6229,43819,"3756.989"
11007,3878,54705,"2673.0613"
11007,3878,51581,"2643.1048"
11007,3878,43743,"3756.989"
11008,14673,53765,"2673.0613"
11008,14673,51282,"2555.0473"
11008,14673,43826,"3729.364"
11009,20229,57736,"2673.0613"
11009,20229,51562,"2538.4944"
11009,20229,43837,"3729.364"
11010,6377,58533,"2644.3313"
11010,6377,51421,"2535.964"
11010,6377,43765,"3756.989"
11011,18258,54706,"2694.0563"
11011,18258,51650,"2535.964"
11011,18258,43705,"3756.989"
11012,11663,68413,"6.9394"
11012,11663,54508,"82.8529"
11013,13873,74908,"82.8529"
11013,13873,56137,"43.0729"
11014,2868,57222,"109.9144"
11014,2868,54898,"43.0729"
11017,2521,68396,"820.2968"
11017,2521,51256,"2560.2519"
11017,2521,43757,"3729.364"
11018,7394,69087,"874.4086"
11018,7394,51492,"2587.8769"
11018,7394,43778,"3756.989"
11019,5132,74593,"71.2394"
11019,5132,74561,"132.6"
11019,5132,72747,"136.9979"
11019,5132,72015,"37.5479"
11019,5132,71963,"82.3004"
11019,5132,69177,"38.664"
11019,5132,68563,"41.1834"
11019,5132,66658,"26.2769"
11019,5132,65967,"27.614"
11019,5132,64737,"2.5305"
11019,5132,62659,"41.2055"
11019,5132,58600,"164.6229"
11019,5132,57639,"8.0444"
11019,5132,56910,"9.934"
11019,5132,54332,"53.0069"
11019,5132,53834,"59.659"
11019,5132,52626,"41.9569"
11023,4373,74658,"6.9394"
11023,4373,52912,"128.1358"
11024,16843,62830,"15.7242"
11024,16843,60998,"46.7194"
11025,12565,69157,"879.9557"
11025,12565,51561,"2658.0444"
11025,12565,43732,"3729.364"
11026,2857,68468,"857.8447"
11026,2857,55132,"2651.4144"
11026,2857,43811,"3756.989"
11027,5526,69088,"860.3751"
11027,5526,58536,"2666.3208"
11027,5526,43775,"3756.989"
11028,15088,67961,"820.2968"
11028,15088,57943,"2604.7944"
11028,15088,43831,"3729.364"
11029,15638,70593,"835.7447"
11029,15638,57294,"2661.9119"
11029,15638,43794,"3756.989"
11030,17272,70449,"830.2307"
11030,17272,62739,"2563.589"
11030,17272,43956,"3756.989"
11031,13917,70748,"835.7447"
11031,13917,62222,"2566.1194"
11031,13917,43933,"3756.989"
11032,16240,70373,"830.2307"
11032,16240,64042,"2651.1492"
11032,16240,44021,"3729.364"
11033,9475,70163,"845.6786"
11033,9475,63409,"2602.2529"
11033,9475,43998,"3729.364"
11034,9657,70521,"879.9557"
11034,9657,63737,"2535.964"
11034,9657,43934,"3756.989"
11035,13948,70870,"835.7447"
11035,13948,66140,"2563.589"
11035,13948,43959,"3729.364"
11038,18643,70671,"820.2968"
11038,18643,65549,"2563.589"
11038,18643,43965,"3729.364"
11039,15676,70594,"867.7786"
11039,15676,66747,"2708.6534"
11039,15676,43966,"3756.989"
11042,19075,68609,"875.5357"
11042,19075,51577,"2563.589"
11043,5960,64496,"38.675"
11043,5960,57638,"14.3429"
11044,5244,70374,"895.4036"
11044,5244,70074,"2574.639"
11044,5244,44073,"3729.364"
11045,5225,69572,"55.239"
11045,5225,55973,"71.7919"
11046,19870,70651,"2696.189"
11046,19870,69653,"886.0222"
11046,19870,43960,"3729.364"
11047,12928,71132,"2696.189"
11047,12928,70087,"820.2968"
11047,12928,43948,"3756.989"
11048,13513,73924,"2622.1098"
11048,13513,70820,"829.0815"
11048,13513,43980,"3729.364"
11049,8749,69583,"6.9394"
11049,8749,54129,"82.8529"
11050,17337,71147,"858.9607"
11050,17337,54526,"944.7419"
