"productid","name","standardcost"
879,"All-Purpose Bike Stand","59.466"
712,"AWC Logo Cap","6.9223"
877,"Bike Wash - Dissolver","2.9733"
843,"Cable Lock","10.3125"
952,"Chain","8.9866"
866,"Classic Vest, L","23.749"
865,"Classic Vest, M","23.749"
864,"Classic Vest, S","23.749"
878,"Fender Set - Mountain","8.2205"
948,"Front Brakes","47.286"
945,"Front Derailleur","40.6216"
863,"Full-Finger Gloves, L","15.6709"
862,"Full-Finger Gloves, M","15.6709"
861,"Full-Finger Gloves, S","15.6709"
860,"Half-Finger Gloves, L","9.1593"
859,"Half-Finger Gloves, M","9.1593"
858,"Half-Finger Gloves, S","9.1593"
876,"Hitch Rack - 4-Bike","44.88"
996,"HL Bottom Bracket","53.9416"
951,"HL Crankset","179.8156"
804,"HL Fork","101.8936"
807,"HL Headset","55.3801"
747,"HL Mountain Frame - Black, 38","739.041"
743,"HL Mountain Frame - Black, 42","739.041"
744,"HL Mountain Frame - Black, 44","699.0928"
745,"HL Mountain Frame - Black, 48","699.0928"
748,"HL Mountain Frame - Silver, 38","747.2002"
739,"HL Mountain Frame - Silver, 42","747.2002"
742,"HL Mountain Frame - Silver, 46","747.2002"
741,"HL Mountain Frame - Silver, 48","706.811"
817,"HL Mountain Front Wheel","133.2955"
810,"HL Mountain Handlebars","53.3999"
937,"HL Mountain Pedal","35.9596"
825,"HL Mountain Rear Wheel","145.2835"
910,"HL Mountain Seat/Saddle","23.3722"
930,"HL Mountain Tire","13.09"
820,"HL Road Front Wheel","146.5466"
813,"HL Road Handlebars","53.3999"
940,"HL Road Pedal","35.9596"
828,"HL Road Rear Wheel","158.5346"
913,"HL Road Seat/Saddle","23.3722"
933,"HL Road Tire","12.1924"
890,"HL Touring Frame - Blue, 46","601.7437"
891,"HL Touring Frame - Blue, 50","601.7437"
892,"HL Touring Frame - Blue, 54","601.7437"
893,"HL Touring Frame - Blue, 60","601.7437"
887,"HL Touring Frame - Yellow, 46","601.7437"
888,"HL Touring Frame - Yellow, 50","601.7437"
885,"HL Touring Frame - Yellow, 60","601.7437"
947,"HL Touring Handlebars","40.6571"
916,"HL Touring Seat/Saddle","23.3722"
880,"Hydration Pack - 70 oz.","20.5663"
994,"LL Bottom Bracket","23.9716"
949,"LL Crankset","77.9176"
