"productid","totalrevenue"
782,"4406151.2662"
783,"4014067.7999"
779,"3696486.4726"
780,"3441292.5443"
781,"3436090.7946"
784,"3311098.4385"
793,"2518299.7641"
794,"2348246.0923"
795,"2012447.7750"
753,"1847818.628"
976,"1788335.8365"
749,"1769096.688"
969,"1728808.3605"
973,"1663517.1903"
966,"1592391.8751"
792,"1587008.1825"
957,"1578659.6319"
751,"1540803.062"
796,"1506377.6325"
954,"1477026.7278"
789,"1449810.5895"
752,"1415563.612"
777,"1383880.8996"
775,"1362078.4642"
790,"1349071.269"
750,"1340419.942"
771,"1311206.1435"
776,"1272911.2284"
778,"1252290.0395"
801,"1235248.9866"
773,"1232734.3743"
797,"1228345.9675"
772,"1202814.4623"
974,"1121241.5783"
798,"1071447.7534"
967,"1071401.058"
791,"1066766.61"
770,"1047819.5728"
774,"1031556.9660"
760,"1021148.1337"
955,"1008461.610"
762,"967980.3155"
799,"932039.5890"
748,"930954.7909"
743,"901590.2336"
761,"881655.6718"
763,"880699.3057"
765,"871093.1371"
972,"774709.8450"
968,"743353.026"
800,"717825.9115"
975,"694003.920"
956,"681844.020"
953,"636216.945"
758,"621103.740"
998,"579733.2640"
764,"523630.1458"
766,"521998.1709"
999,"516111.6422"
768,"509354.0012"
754,"508401.1130"
786,"502087.3510"
747,"501788.1977"
742,"499556.5724"
835,"486027.4601"
787,"484051.518"
788,"479234.7626"
785,"442752.7004"
970,"439022.493"
718,"395182.6993"
717,"394255.5724"
838,"375026.9772"
961,"370098.5925"
965,"363766.3470"
979,"361175.5455"
977,"361145.312"
892,"325096.1753"
889,"324001.9134"
981,"323909.1206"
767,"312250.8139"
769,"310946.5762"
755,"306177.900"
759,"304012.6411"
822,"303330.8412"
756,"302678.724"
962,"301468.3350"
836,"301286.7891"
958,"299946.5175"
738,"299763.7283"
997,"290298.624"
971,"286218.66"
739,"269874.0096"
